epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,1.7226263284683228
0,1,,,1.7226263284683228,
0,1,2.286451816558838,,,
,1,,,,1.8389248847961426
1,3,,,1.8389248847961426,
1,3,1.7278631925582886,,,
,2,,,,1.9620198011398315
2,5,,,1.9620198011398315,
2,5,1.8657164573669434,,,
,3,,,,1.701514482498169
3,7,,,1.701514482498169,
3,7,1.7604930400848389,,,
,4,,,,1.9289473295211792
4,9,,,1.9289473295211792,
4,9,1.6620227098464966,,,
,5,,,,1.5634450912475586
5,11,,,1.5634450912475586,
5,11,1.6488935947418213,,,
,6,,,,1.6219905614852905
6,13,,,1.6219905614852905,
6,13,1.4827473163604736,,,
,7,,,,1.6781527996063232
7,15,,,1.6781527996063232,
7,15,1.4737237691879272,,,
,8,,,,1.5414009094238281
8,17,,,1.5414009094238281,
8,17,1.5123599767684937,,,
,9,,,,1.4448022842407227
9,19,,,1.4448022842407227,
9,19,1.3664382696151733,,,
,10,,,,1.8181473016738892
10,21,,,1.8181473016738892,
10,21,1.4565212726593018,,,
,11,,,,1.4251095056533813
11,23,,,1.4251095056533813,
11,23,1.4265031814575195,,,
,12,,,,1.3528852462768555
12,25,,,1.3528852462768555,
12,25,1.1818424463272095,,,
,13,,,,1.5430936813354492
13,27,,,1.5430936813354492,
13,27,1.6409863233566284,,,
,14,,,,1.525016188621521
14,29,,,1.525016188621521,
14,29,1.36286199092865,,,
,15,,,,1.5094186067581177
15,31,,,1.5094186067581177,
15,31,1.3101803064346313,,,
,16,,,,1.4545924663543701
16,33,,,1.4545924663543701,
16,33,1.360762596130371,,,
,17,,,,1.6683481931686401
17,35,,,1.6683481931686401,
17,35,1.2530032396316528,,,
,18,,,,1.2681125402450562
18,37,,,1.2681125402450562,
18,37,1.3895089626312256,,,
,19,,,,1.2748686075210571
19,39,,,1.2748686075210571,
19,39,1.3260726928710938,,,
,20,,,,1.356204867362976
20,41,,,1.356204867362976,
20,41,1.3933439254760742,,,
,21,,,,1.1888505220413208
21,43,,,1.1888505220413208,
21,43,1.1879867315292358,,,
,22,,,,1.1015386581420898
22,45,,,1.1015386581420898,
22,45,1.1997679471969604,,,
,23,,,,1.3027414083480835
23,47,,,1.3027414083480835,
23,47,1.2116221189498901,,,
24,49,,1.3754898309707642,,
,24,,,,1.1931930780410767
24,49,,,1.1931930780410767,
24,49,1.30442214012146,,,
,25,,,,1.3179959058761597
25,51,,,1.3179959058761597,
25,51,1.2551803588867188,,,
,26,,,,1.1929733753204346
26,53,,,1.1929733753204346,
26,53,1.3287875652313232,,,
